,M4id,category,Frequency,Horizon,SP,StartingDate
1,"Akron, OH Metro Area",B,4,8,Quarterly,04-01-2001
2,"Albany-Schenectady-Troy, NY Metro Area",B,4,8,Quarterly,04-01-2001
3,"Albuquerque, NM Metro Area",B,4,8,Quarterly,04-01-2001
4,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",B,4,8,Quarterly,04-01-2001
5,"Atlanta-Sandy Springs-Marietta, GA Metro Area",B,4,8,Quarterly,04-01-2001
6,"Augusta-Richmond County, GA-SC Metro Area",B,4,8,Quarterly,04-01-2001
7,"Austin-Round Rock-San Marcos, TX Metro Area",B,4,8,Quarterly,04-01-2001
8,"Bakersfield, CA Metro Area",B,4,8,Quarterly,04-01-2001
9,"Baltimore-Columbia-Towson, MD Metro Area",B,4,8,Quarterly,04-01-2001
10,"Baton Rouge, LA Metro Area",B,4,8,Quarterly,04-01-2001
11,"Birmingham-Hoover, AL Metro Area",B,4,8,Quarterly,04-01-2001
12,"Boise City, ID Metro Area",B,4,8,Quarterly,04-01-2001
13,"Boston-Cambridge-Newton, MA-NH Metro Area",B,4,8,Quarterly,04-01-2001
14,"Bridgeport-Stamford-Norwalk, CT Metro Area",B,4,8,Quarterly,04-01-2001
15,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",B,4,8,Quarterly,04-01-2001
16,"Cape Coral-Fort Myers, FL Metro Area",B,4,8,Quarterly,04-01-2001
17,"Charleston-North Charleston, SC Metro Area",B,4,8,Quarterly,04-01-2001
18,"Charlotte-Concord-Gastonia, NC-SC Metro Area",B,4,8,Quarterly,04-01-2001
19,"Chattanooga, TN-GA Metro Area",B,4,8,Quarterly,04-01-2001
20,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",B,4,8,Quarterly,04-01-2001
21,"Cincinnati-Middletown, OH-KY-IN Metro Area",B,4,8,Quarterly,04-01-2001
22,"Cleveland-Elyria-Mentor, OH Metro Area",B,4,8,Quarterly,04-01-2001
23,"Colorado Springs, CO Metro Area",B,4,8,Quarterly,04-01-2001
24,"Columbia, SC Metro Area",B,4,8,Quarterly,04-01-2001
25,"Columbus, OH Metro Area",B,4,8,Quarterly,04-01-2001
26,"Dallas-Fort Worth-Arlington, TX Metro Area",B,4,8,Quarterly,04-01-2001
27,"Dayton, OH Metro Area",B,4,8,Quarterly,04-01-2001
28,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",B,4,8,Quarterly,04-01-2001
29,"Denver-Aurora-Broomfield, CO Metro Area",B,4,8,Quarterly,04-01-2001
30,"Des Moines, IA Metropolitan Statistical Area",B,4,8,Quarterly,04-01-2001
31,"Detroit-Warren-Dearborn, MI Metro Area",B,4,8,Quarterly,04-01-2001
32,"Durham-Chapel Hill, NC Metro Area",B,4,8,Quarterly,04-01-2001
33,"El Paso, TX Metro Area",B,4,8,Quarterly,04-01-2001
34,"Fresno, CA Metro Area",B,4,8,Quarterly,04-01-2001
35,"Greensboro-High Point, NC Metro Area",B,4,8,Quarterly,04-01-2001
36,"Greenville-Anderson-Mauldin, SC Metro Area",B,4,8,Quarterly,04-01-2001
37,"Harrisburg-Carlisle, PA Metro Area",B,4,8,Quarterly,04-01-2001
38,"Hartford-West Hartford-East Hartford, CT Metro Area",B,4,8,Quarterly,04-01-2001
39,"Houston-Sugar Land-Baytown, TX Metro Area",B,4,8,Quarterly,04-01-2001
40,"Indianapolis-Carmel-Anderson, IN Metro Area",B,4,8,Quarterly,04-01-2001
41,"Jackson, MS Metro Area",B,4,8,Quarterly,04-01-2001
42,"Jacksonville, FL Metro Area",B,4,8,Quarterly,04-01-2001
43,"Kansas City, MO-KS Metro Area",B,4,8,Quarterly,04-01-2001
44,"Knoxville, TN Metro Area",B,4,8,Quarterly,04-01-2001
45,"Lakeland, FL Metropolitan Statistical Area",B,4,8,Quarterly,04-01-2001
46,"Las Vegas-Henderson-Paradise, NV Metro Area",B,4,8,Quarterly,04-01-2001
47,"Little Rock-North Little Rock, AR Metropolitan Statistical Area",B,4,8,Quarterly,04-01-2001
48,"Los Angeles-Long Beach-Anaheim, CA Metro Area",B,4,8,Quarterly,04-01-2001
49,"Louisville-Jefferson County, KY-IN Metro Area",B,4,8,Quarterly,04-01-2001
50,"Madison, WI Metro Area",B,4,8,Quarterly,04-01-2001
51,"McAllen-Edinburg-Mission, TX Metro Area",A,4,8,Quarterly,04-01-2001
52,"Memphis, TN-MS-AR Metro Area",A,4,8,Quarterly,04-01-2001
53,"Miami-Fort Lauderdale-Miami Beach, FL Metropolitan Statistical Area",A,4,8,Quarterly,04-01-2001
54,"Milwaukee-Waukesha-West Allis, WI Metro Area",A,4,8,Quarterly,04-01-2001
55,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",A,4,8,Quarterly,04-01-2001
56,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",A,4,8,Quarterly,04-01-2001
57,"New Haven-Milford, CT Metro Area",A,4,8,Quarterly,04-01-2001
58,"New Orleans-Metairie-Kenner, LA Metro Area",A,4,8,Quarterly,04-01-2001
59,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",A,4,8,Quarterly,04-01-2001
60,"North Port-Bradenton-Sarasota, FL Metro Area",A,4,8,Quarterly,04-01-2001
61,"Ogden-Clearfield, UT Metro Area",A,4,8,Quarterly,04-01-2001
62,"Oklahoma City, OK Metro Area",A,4,8,Quarterly,04-01-2001
63,"Omaha-Council Bluffs, NE-IA Metro Area",A,4,8,Quarterly,04-01-2001
64,"Orlando-Kissimmee, FL Metro Area",A,4,8,Quarterly,04-01-2001
65,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",A,4,8,Quarterly,04-01-2001
66,"Palm Bay-Melbourne-Titusville, FL Metro Area",A,4,8,Quarterly,04-01-2001
67,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",A,4,8,Quarterly,04-01-2001
68,"Phoenix-Mesa-Glendale, AZ Metro Area",A,4,8,Quarterly,04-01-2001
69,"Pittsburgh, PA Metro Area",A,4,8,Quarterly,04-01-2001
70,"Portland-Vancouver-Beaverton, OR-WA Metro Area",A,4,8,Quarterly,04-01-2001
71,"Providence-New Bedford-Fall River, RI-MA Metro Area",A,4,8,Quarterly,04-01-2001
72,"Provo-Orem, UT Metro Area",A,4,8,Quarterly,04-01-2001
73,"Raleigh-Cary, NC Metro Area",A,4,8,Quarterly,04-01-2001
74,"Riverside-San Bernardino-Ontario, CA Metro Area",A,4,8,Quarterly,04-01-2001
75,"Rochester, NY Metro Area",A,4,8,Quarterly,04-01-2001
76,"Sacramento--Arden-Arcade--Roseville, CA Metro Area",A,4,8,Quarterly,04-01-2001
77,"Salt Lake City, UT Metro Area",A,4,8,Quarterly,04-01-2001
78,"San Antonio-New Braunfels, TX Metro Area",A,4,8,Quarterly,04-01-2001
79,"San Diego-Carlsbad, CA Metro Area",A,4,8,Quarterly,04-01-2001
80,"San Francisco-Oakland-Fremont, CA Metro Area",A,4,8,Quarterly,04-01-2001
81,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",A,4,8,Quarterly,04-01-2001
82,"Scranton--Wilkes-Barre--Hazleton, PA Metro Area",A,4,8,Quarterly,04-01-2001
83,"Seattle-Tacoma-Bellevue, WA Metro Area",A,4,8,Quarterly,04-01-2001
84,"Spokane-Spokane Valley, WA Metro Area",A,4,8,Quarterly,04-01-2001
85,"Springfield, MA Metro Area",A,4,8,Quarterly,04-01-2001
86,"St. Louis, MO-IL Metro Area",A,4,8,Quarterly,04-01-2001
87,"Stockton, CA Metro Area",A,4,8,Quarterly,04-01-2001
88,"Syracuse, NY Metro Area",A,4,8,Quarterly,04-01-2001
89,"Tampa-St. Petersburg-Clearwater, FL Metro Area",A,4,8,Quarterly,04-01-2001
90,"Toledo, OH Metro Area",A,4,8,Quarterly,04-01-2001
91,"Tucson, AZ Metro Area",A,4,8,Quarterly,04-01-2001
92,"Tulsa, OK Metro Area",A,4,8,Quarterly,04-01-2001
93,"Urban Honolulu, HI Metro Area",A,4,8,Quarterly,04-01-2001
94,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",A,4,8,Quarterly,04-01-2001
95,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",A,4,8,Quarterly,04-01-2001
96,"Wichita, KS Metro Area",A,4,8,Quarterly,04-01-2001
97,"Winston-Salem, NC Metro Area",A,4,8,Quarterly,04-01-2001
98,"Worcester, MA-CT Metro Area",A,4,8,Quarterly,04-01-2001
